
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 3bff9d4d-45bb-4654-a254-e77395d07905 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.286     1    3.286          0.153    1.0  3.0         -        3.0     -       -             0        cn17658-enp5s0 
createfile_ID0000001                1   condorpool 3.276     1    3.276          0.645    0.0  0.0         -        4.0     -       -             0        cn17658-enp5s0 
stage_out_remote_condorpool_0_0     1   condorpool 5.493     1    5.493          1.079    0.0  1.0         -        6.0     -       -             0        cn17658-enp5s0 
binary_ID0000003                    1   condorpool 3.162     1    3.162          0.63     0.0  6.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000002                    1   condorpool 2.979     1    2.979          1.05     0.0  6.0         -        3.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_1     1   condorpool 4.483     1    4.483          1.097    0.0  0.0         -        5.0     -       -             0        cn17641-ens4   
stage_out_remote_condorpool_1_0     1   condorpool 4.327     1    4.327          1.112    0.0  5.0         -        4.0     -       -             0        cn17641-ens4   
binary_ID0000007                    1   condorpool 2.93      1    2.93           0.98     0.0  5.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000005                    1   condorpool 2.874     1    2.874          0.934    0.0  5.0         -        3.0     -       -             0        cn17643-ens4   
binary_ID0000006                    1   condorpool 2.809     1    2.809          0.926    0.0  5.0         -        3.0     -       -             0        cn17651-ens4   
