
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# aacd6656-1154-4107-898d-784f799f66e3 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.259     1    3.259          0.173    0.0  16.0        -        4.0     -       -             0        cn17639-ens4   
createfile_ID0000001                1   condorpool 3.874     1    3.874          6.346    0.0  0.0         -        4.0     -       -             0        cn17639-ens4   
binary_ID0000003                    1   condorpool 6.045     1    6.045          8.787    0.0  1.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000002                    1   condorpool 5.979     1    5.979          8.664    0.0  6.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000007                    1   condorpool 6.086     1    6.086          8.766    1.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000005                    1   condorpool 5.955     1    5.955          8.766    0.0  7.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000006                    1   condorpool 5.907     1    5.907          8.7      0.0  13.0        -        7.0     -       -             0        cn17639-ens4   
binary_ID0000004                    1   condorpool 5.992     1    5.992          8.729    0.0  20.0        -        6.0     -       -             0        cn17639-ens4   
binary_ID0000008                    1   condorpool 6.097     1    6.097          8.841    0.0  1.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000014                    1   condorpool 6.217     1    6.217          9.262    1.0  7.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000015                    1   condorpool 6.115     1    6.115          12.443   1.0  8.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 5.834     1    5.834          11.41    1.0  8.0         -        6.0     -       -             0        cn17636-enp5s0 
binary_ID0000013                    1   condorpool 5.368     1    5.368          11.639   1.0  8.0         -        6.0     -       -             0        cn17637-ens4   
binary_ID0000010                    1   condorpool 6.123     1    6.123          11.922   1.0  3.0         -        7.0     -       -             0        cn17640-enp5s0 
binary_ID0000011                    1   condorpool 5.726     1    5.726          11.028   1.0  3.0         -        6.0     -       -             0        cn17635-ens4   
binary_ID0000009                    1   condorpool 5.694     1    5.694          11.68    1.0  3.0         -        6.0     -       -             0        cn17642-enp5s0 
binary_ID0000018                    1   condorpool 5.37      1    5.37           11.784   0.0  0.0         -        6.0     -       -             0        cn17639-ens4   
binary_ID0000029                    1   condorpool 5.255     1    5.255          10.802   0.0  0.0         -        6.0     -       -             0        cn17637-ens4   
binary_ID0000019                    1   condorpool 5.732     1    5.732          11.901   0.0  0.0         -        6.0     -       -             0        cn17640-enp5s0 
binary_ID0000016                    1   condorpool 5.639     1    5.639          11.643   0.0  0.0         -        7.0     -       -             0        cn17636-enp5s0 
binary_ID0000027                    1   condorpool 5.346     1    5.346          11.137   0.0  0.0         -        6.0     -       -             0        cn17642-enp5s0 
binary_ID0000017                    1   condorpool 5.332     1    5.332          10.831   0.0  0.0         -        6.0     -       -             0        cn17635-ens4   
binary_ID0000028                    1   condorpool 5.64      1    5.64           11.59    0.0  0.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000025                    1   condorpool 5.301     1    5.301          10.686   0.0  1.0         -        5.0     -       -             0        cn17637-ens4   
binary_ID0000026                    1   condorpool 5.163     1    5.163          11.438   0.0  1.0         -        5.0     -       -             0        cn17639-ens4   
binary_ID0000023                    1   condorpool 4.739     1    4.739          9.524    0.0  0.0         -        5.0     -       -             0        cn17642-enp5s0 
binary_ID0000024                    1   condorpool 5.415     1    5.415          11.383   0.0  0.0         -        6.0     -       -             0        cn17640-enp5s0 
binary_ID0000021                    1   condorpool 5.245     1    5.245          11.037   0.0  0.0         -        6.0     -       -             0        cn17636-enp5s0 
binary_ID0000022                    1   condorpool 6.248     1    6.248          8.773    0.0  0.0         -        7.0     -       -             0        cn17635-ens4   
binary_ID0000030                    1   condorpool 5.03      1    5.03           10.353   0.0  0.0         -        6.0     -       -             0        cn17642-enp5s0 
binary_ID0000020                    1   condorpool 5.969     1    5.969          11.682   0.0  0.0         -        7.0     -       -             0        cn17639-ens4   
binary_ID0000031                    1   condorpool 5.644     1    5.644          11.763   0.0  0.0         -        6.0     -       -             0        cn17637-ens4   
process_ID0000036                   1   condorpool 7.114     1    7.114          10.417   0.0  1.0         -        7.0     -       -             0        cn17639-ens4   
process_ID0000047                   1   condorpool 5.934     1    5.934          8.81     0.0  0.0         -        6.0     -       -             0        cn17637-ens4   
process_ID0000037                   1   condorpool 6.003     1    6.003          11.726   0.0  0.0         -        6.0     -       -             0        cn17640-enp5s0 
process_ID0000038                   1   condorpool 5.122     1    5.122          11.115   0.0  0.0         -        5.0     -       -             0        cn17636-enp5s0 
process_ID0000039                   1   condorpool 5.877     1    5.877          8.852    0.0  0.0         -        6.0     -       -             0        cn17642-enp5s0 
process_ID0000032                   1   condorpool 5.215     1    5.215          10.809   0.0  0.0         -        6.0     -       -             0        cn17635-ens4   
process_ID0000043                   1   condorpool 5.02      1    5.02           10.38    0.0  0.0         -        6.0     -       -             0        cn17636-enp5s0 
process_ID0000033                   1   condorpool 5.251     1    5.251          11.069   0.0  1.0         -        5.0     -       -             0        cn17637-ens4   
process_ID0000044                   1   condorpool 5.322     1    5.322          11.193   0.0  1.0         -        6.0     -       -             0        cn17640-enp5s0 
process_ID0000034                   1   condorpool 4.971     1    4.971          10.654   0.0  1.0         -        6.0     -       -             0        cn17642-enp5s0 
