
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# c68aeb43-96c9-49c3-b890-cdd540b2966e (binary-tree)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       6.563     10.382    8.701          261.033   
createfile               1         1         0       7.089     7.089     7.089          7.089     
dagman::post             115       112       3       0.0       1.0       0.174          20.0      
pegasus::dirmanager      1         1         0       3.34      3.34      3.34           3.34      
pegasus::transfer        1         1         0       2.223     2.223     2.223          2.223     
process                  67        64        3       8.482     98.048    18.962         1270.442  
reduce                   15        15        0       1.176     1.313     1.209          18.141    


# All (All)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       6.563     10.382    8.701          261.033   
createfile               1         1         0       7.089     7.089     7.089          7.089     
dagman::post             115       112       3       0.0       1.0       0.174          20.0      
pegasus::dirmanager      1         1         0       3.34      3.34      3.34           3.34      
pegasus::transfer        1         1         0       2.223     2.223     2.223          2.223     
process                  67        64        3       8.482     98.048    18.962         1270.442  
reduce                   15        15        0       1.176     1.313     1.209          18.141    
