
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# c68aeb43-96c9-49c3-b890-cdd540b2966e (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.34      1    3.34           0.153    0.0  15.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 7.089     1    7.089          9.605    0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 8.677     1    8.677          17.855   0.0  1.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 8.056     1    8.056          15.702   0.0  9.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 7.704     1    7.704          20.144   1.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 8.958     1    8.958          21.17    0.0  8.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 8.958     1    8.958          22.814   0.0  15.0        -        9.0     -       -             0        cn17636-enp5s0 
binary_ID0000004                    1   condorpool 9.184     1    9.184          21.622   0.0  15.0        -        9.0     -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 8.677     1    8.677          22.778   0.0  0.0         -        9.0     -       -             0        cn17636-enp5s0 
binary_ID0000014                    1   condorpool 7.769     1    7.769          20.235   0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 6.663     1    6.663          18.507   0.0  9.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 7.694     1    7.694          19.312   0.0  16.0        -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 7.989     1    7.989          20.178   1.0  20.0        -        8.0     -       -             0        cn17637-ens4   
binary_ID0000010                    1   condorpool 9.411     1    9.411          22.365   1.0  14.0        -        10.0    -       -             0        cn17651-ens4   
binary_ID0000011                    1   condorpool 9.167     1    9.167          21.562   1.0  14.0        -        9.0     -       -             0        cn17651-ens4   
binary_ID0000009                    1   condorpool 8.134     1    8.134          22.058   0.0  3.0         -        9.0     -       -             0        cn17636-enp5s0 
binary_ID0000018                    1   condorpool 7.471     1    7.471          20.576   0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 6.563     1    6.563          18.121   0.0  8.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 7.796     1    7.796          19.881   0.0  15.0        -        8.0     -       -             0        cn17635-ens4   
binary_ID0000016                    1   condorpool 10.029    1    10.029         22.164   1.0  20.0        -        12.0    -       -             0        cn17640-enp5s0 
binary_ID0000027                    1   condorpool 9.144     1    9.144          19.839   0.0  20.0        -        9.0     -       -             0        cn17648-enp5s0 
binary_ID0000017                    1   condorpool 9.179     1    9.179          22.7     0.0  15.0        -        9.0     -       -             0        cn17640-enp5s0 
binary_ID0000028                    1   condorpool 10.039    1    10.039         22.742   0.0  15.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000025                    1   condorpool 9.365     1    9.365          19.964   0.0  15.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000026                    1   condorpool 9.212     1    9.212          19.815   0.0  15.0        -        9.0     -       -             0        cn17648-enp5s0 
binary_ID0000023                    1   condorpool 8.135     1    8.135          22.44    0.0  0.0         -        8.0     -       -             0        cn17651-ens4   
binary_ID0000024                    1   condorpool 9.49      1    9.49           20.923   0.0  13.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000021                    1   condorpool 10.084    1    10.084         20.86    0.0  9.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 7.815     1    7.815          19.732   0.0  3.0         -        8.0     -       -             0        cn17651-ens4   
binary_ID0000030                    1   condorpool 10.054    1    10.054         22.281   0.0  9.0         -        10.0    -       -             0        cn17637-ens4   
binary_ID0000020                    1   condorpool 10.382    1    10.382         22.187   0.0  9.0         -        11.0    -       -             0        cn17637-ens4   
binary_ID0000031                    1   condorpool 9.234     1    9.234          22.285   0.0  4.0         -        10.0    -       -             0        cn17635-ens4   
process_ID0000036                   1   condorpool 8.844     1    8.844          16.547   0.0  0.0         -        9.0     -       -             0        cn17653-ens4   
process_ID0000047                   1   condorpool 9.712     1    9.712          17.443   0.0  0.0         -        10.0    -       -             0        cn17637-ens4   
process_ID0000037                   1   condorpool 9.102     1    9.102          17.315   0.0  0.0         -        10.0    -       -             0        cn17635-ens4   
