
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 918b918a-7ce2-4ab4-a211-7b89500be9aa (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.198     1    3.198          0.152    0.0  15.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.815     1    6.815          10.329   0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 32.489    1    32.489         42.086   0.0  0.0         -        32.0    -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 21.533    1    21.533         30.395   0.0  24.0        -        22.0    -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 28.139    1    28.139         114.807  0.0  1.0         -        28.0    -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 8.899     1    8.899          22.018   0.0  21.0        -        9.0     -       -             0        cn17658-enp5s0 
binary_ID0000006                    1   condorpool 8.227     1    8.227          21.733   0.0  20.0        -        8.0     -       -             0        cn17645-ens4   
binary_ID0000004                    1   condorpool 9.978     1    9.978          23.611   0.0  20.0        -        10.0    -       -             0        cn17658-enp5s0 
binary_ID0000008                    1   condorpool 18.058    1    18.058         32.416   0.0  1.0         -        18.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 24.188    1    24.188         79.27    0.0  19.0        -        24.0    -       -             0        cn17644-enp5s0 
