
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# d0f74bfc-23f4-48bd-9e68-017ea4e5ff8b (binary-tree)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       7.407     11.371    9.147          274.408   
createfile               1         1         0       5.564     5.564     5.564          5.564     
dagman::post             112       112       0       0.0       1.0       0.214          24.0      
pegasus::dirmanager      1         1         0       3.195     3.195     3.195          3.195     
pegasus::transfer        1         1         0       2.202     2.202     2.202          2.202     
process                  64        64        0       8.243     17.904    11.343         725.96    
reduce                   15        15        0       1.082     1.302     1.156          17.334    


# All (All)
Transformation           Count     Succeeded Failed  Min       Max       Mean           Total     
binary                   30        30        0       7.407     11.371    9.147          274.408   
createfile               1         1         0       5.564     5.564     5.564          5.564     
dagman::post             112       112       0       0.0       1.0       0.214          24.0      
pegasus::dirmanager      1         1         0       3.195     3.195     3.195          3.195     
pegasus::transfer        1         1         0       2.202     2.202     2.202          2.202     
process                  64        64        0       8.243     17.904    11.343         725.96    
reduce                   15        15        0       1.082     1.302     1.156          17.334    
