
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# d0f74bfc-23f4-48bd-9e68-017ea4e5ff8b (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.195     1    3.195          0.153    0.0  16.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 5.564     1    5.564          11.643   0.0  0.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 8.684     1    8.684          20.908   0.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 7.575     1    7.575          19.289   0.0  9.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 7.876     1    7.876          20.426   0.0  1.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 7.641     1    7.641          19.109   0.0  9.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 8.707     1    8.707          21.485   1.0  12.0        -        9.0     -       -             0        cn17640-enp5s0 
binary_ID0000004                    1   condorpool 8.403     1    8.403          21.264   1.0  12.0        -        9.0     -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 7.988     1    7.988          20.109   1.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 7.68      1    7.68           19.361   0.0  8.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 7.564     1    7.564          19.567   0.0  16.0        -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 8.718     1    8.718          22.572   0.0  21.0        -        9.0     -       -             0        cn17658-enp5s0 
binary_ID0000013                    1   condorpool 8.704     1    8.704          22.502   0.0  21.0        -        9.0     -       -             0        cn17658-enp5s0 
binary_ID0000010                    1   condorpool 8.079     1    8.079          18.885   0.0  16.0        -        8.0     -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 8.868     1    8.868          19.79    0.0  16.0        -        9.0     -       -             0        cn17661-ens4   
binary_ID0000009                    1   condorpool 7.759     1    7.759          19.274   0.0  0.0         -        8.0     -       -             0        cn17640-enp5s0 
binary_ID0000018                    1   condorpool 8.419     1    8.419          20.191   0.0  1.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 7.407     1    7.407          19.127   0.0  8.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 9.035     1    9.035          19.452   0.0  16.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000016                    1   condorpool 10.529    1    10.529         22.551   1.0  20.0        -        11.0    -       -             0        cn17642-enp5s0 
binary_ID0000027                    1   condorpool 11.107    1    11.107         24.218   0.0  20.0        -        11.0    -       -             0        cn17651-ens4   
binary_ID0000017                    1   condorpool 10.787    1    10.787         23.302   1.0  15.0        -        11.0    -       -             0        cn17642-enp5s0 
binary_ID0000028                    1   condorpool 9.246     1    9.246          21.418   1.0  15.0        -        9.0     -       -             0        cn17637-ens4   
binary_ID0000025                    1   condorpool 11.371    1    11.371         22.164   0.0  15.0        -        12.0    -       -             0        cn17653-ens4   
binary_ID0000026                    1   condorpool 10.852    1    10.852         22.468   1.0  15.0        -        11.0    -       -             0        cn17651-ens4   
