
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 1b4c6207-c6ac-4be1-8c6b-166f6b23c027 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.354     1    3.354          0.157    1.0  17.0        -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.674     1    6.674          9.815    0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 10.932    1    10.932         13.92    0.0  0.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 8.716     1    8.716          11.712   1.0  11.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 10.05     1    10.05          13.054   0.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 9.133     1    9.133          11.894   0.0  10.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 10.038    1    10.038         13.252   1.0  16.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 10.662    1    10.662         18.035   1.0  16.0        -        11.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 11.513    1    11.513         18.426   0.0  0.0         -        12.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 8.53      1    8.53           15.978   1.0  0.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000015                    1   condorpool 13.901    1    13.901         15.485   0.0  0.0         -        14.0    -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 8.607     1    8.607          15.713   0.0  9.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000013                    1   condorpool 16.962    1    16.962         14.302   0.0  12.0        -        17.0    -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 16.24     1    16.24          13.536   0.0  9.0         -        17.0    -       -             0        cn17644-enp5s0 
binary_ID0000011                    1   condorpool 8.369     1    8.369          15.496   0.0  13.0        -        8.0     -       -             0        cn17653-ens4   
binary_ID0000009                    1   condorpool 10.23     1    10.23          13.167   0.0  16.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000018                    1   condorpool 10.969    1    10.969         13.872   0.0  1.0         -        11.0    -       -             0        cn17653-ens4   
binary_ID0000029                    1   condorpool 15.803    1    15.803         17.227   0.0  0.0         -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 10.696    1    10.696         13.707   0.0  0.0         -        11.0    -       -             0        cn17653-ens4   
binary_ID0000016                    1   condorpool 16.492    1    16.492         13.658   0.0  0.0         -        17.0    -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 8.476     1    8.476          16.041   0.0  11.0        -        9.0     -       -             0        cn17637-ens4   
binary_ID0000017                    1   condorpool 15.655    1    15.655         13.792   0.0  11.0        -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000028                    1   condorpool 15.128    1    15.128         14.726   1.0  6.0         -        15.0    -       -             0        cn17653-ens4   
binary_ID0000025                    1   condorpool 12.458    1    12.458         13.755   0.0  20.0        -        13.0    -       -             0        cn17653-ens4   
binary_ID0000026                    1   condorpool 17.86     1    17.86          15.201   0.0  12.0        -        18.0    -       -             0        cn17644-enp5s0 
binary_ID0000023                    1   condorpool 9.63      1    9.63           17.164   0.0  15.0        -        10.0    -       -             0        cn17637-ens4   
binary_ID0000024                    1   condorpool 9.566     1    9.566          17.811   0.0  10.0        -        10.0    -       -             0        cn17637-ens4   
binary_ID0000021                    1   condorpool 10.091    1    10.091         17.927   0.0  10.0        -        10.0    -       -             0        cn17635-ens4   
binary_ID0000022                    1   condorpool 10.448    1    10.448         18.075   0.0  10.0        -        11.0    -       -             0        cn17635-ens4   
binary_ID0000030                    1   condorpool 9.623     1    9.623          17.29    0.0  9.0         -        10.0    -       -             0        cn17655-ens4   
binary_ID0000020                    1   condorpool 9.696     1    9.696          17.811   0.0  9.0         -        10.0    -       -             0        cn17655-ens4   
binary_ID0000031                    1   condorpool 9.595     1    9.595          16.82    0.0  4.0         -        10.0    -       -             0        cn17645-ens4   
process_ID0000036                   1   condorpool 15.854    1    15.854         18.025   0.0  1.0         -        16.0    -       -             0        cn17644-enp5s0 
process_ID0000047                   1   condorpool 8.982     1    8.982          16.131   0.0  1.0         -        9.0     -       -             0        cn17635-ens4   
process_ID0000037                   1   condorpool 10.672    1    10.672         17.992   0.0  1.0         -        11.0    -       -             0        cn17637-ens4   
process_ID0000038                   1   condorpool 8.896     1    8.896          11.649   1.0  9.0         -        9.0     -       -             0        cn17635-ens4   
process_ID0000039                   1   condorpool 10.268    1    10.268         13.216   1.0  11.0        -        10.0    -       -             0        cn17637-ens4   
process_ID0000032                   1   condorpool 17.128    1    17.128         19.217   1.0  0.0         -        17.0    -       -             0        cn17644-enp5s0 
process_ID0000043                   1   condorpool 10.307    1    10.307         13.211   0.0  11.0        -        11.0    -       -             0        cn17637-ens4   
process_ID0000033                   1   condorpool 9.691     1    9.691          17.24    0.0  13.0        -        10.0    -       -             0        cn17635-ens4   
process_ID0000044                   1   condorpool 16.788    1    16.788         14.698   0.0  0.0         -        19.0    -       -             0        cn17653-ens4   
process_ID0000034                   1   condorpool 16.227    1    16.227         14.003   0.0  14.0        -        17.0    -       -             0        cn17653-ens4   
