
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# c251ffe9-06c1-4ca5-a113-9a2ec60dab94 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.717     1    3.717          0.173    1.0  17.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 5.424     1    5.424          4.709    0.0  0.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 7.152     1    7.152          6.234    0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 6.154     1    6.154          5.116    1.0  8.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 7.322     1    7.322          5.577    0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 7.286     1    7.286          5.159    0.0  8.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 8.712     1    8.712          5.374    1.0  15.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 7.52      1    7.52           4.854    1.0  16.0        -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 8.497     1    8.497          5.41     0.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 10.296    1    10.296         5.41     0.0  0.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 13.752    1    13.752         5.401    0.0  9.0         -        14.0    -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 20.305    1    20.305         5.76     0.0  11.0        -        20.0    -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 10.394    1    10.394         7.124    0.0  21.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000010                    1   condorpool 22.395    1    22.395         6.982    1.0  16.0        -        22.0    -       -             0        cn17653-ens4   
binary_ID0000011                    1   condorpool 10.255    1    10.255         7.238    0.0  16.0        -        10.0    -       -             0        cn17637-ens4   
binary_ID0000009                    1   condorpool 10.293    1    10.293         7.241    0.0  16.0        -        10.0    -       -             0        cn17637-ens4   
binary_ID0000018                    1   condorpool 6.613     1    6.613          5.34     0.0  0.0         -        7.0     -       -             0        cn17637-ens4   
binary_ID0000029                    1   condorpool 7.327     1    7.327          6.898    0.0  0.0         -        7.0     -       -             0        cn17653-ens4   
binary_ID0000019                    1   condorpool 15.985    1    15.985         5.366    0.0  7.0         -        16.0    -       -             0        cn17637-ens4   
binary_ID0000016                    1   condorpool 8.665     1    8.665          6.575    0.0  8.0         -        8.0     -       -             0        cn17653-ens4   
binary_ID0000027                    1   condorpool 7.915     1    7.915          5.99     0.0  16.0        -        9.0     -       -             0        cn17653-ens4   
binary_ID0000017                    1   condorpool 8.038     1    8.038          6.809    1.0  15.0        -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000028                    1   condorpool 8.789     1    8.789          7.589    1.0  15.0        -        9.0     -       -             0        cn17644-enp5s0 
