
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# d5f51f40-cff8-4ace-b6d6-41ef952bc02d (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.417     1    3.417          0.166    0.0  2.0         -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.552     1    6.552          9.637    1.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 10.268    1    10.268         13.113   0.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 9.147     1    9.147          12.106   0.0  10.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 10.702    1    10.702         13.64    0.0  1.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 11.127    1    11.127         13.953   0.0  12.0        -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 9.699     1    9.699          12.513   0.0  11.0        -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 9.433     1    9.433          17.193   0.0  11.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 10.768    1    10.768         17.289   0.0  0.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 13.618    1    13.618         14.883   0.0  1.0         -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 8.961     1    8.961          16.074   0.0  1.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000012                    1   condorpool 8.487     1    8.487          15.857   0.0  9.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000013                    1   condorpool 16.122    1    16.122         14.639   0.0  11.0        -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000010                    1   condorpool 17.522    1    17.522         15.092   0.0  8.0         -        18.0    -       -             0        cn17644-enp5s0 
binary_ID0000011                    1   condorpool 8.328     1    8.328          15.492   0.0  13.0        -        8.0     -       -             0        cn17653-ens4   
binary_ID0000009                    1   condorpool 10.141    1    10.141         13.258   0.0  14.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000018                    1   condorpool 15.623    1    15.623         18.081   0.0  0.0         -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 18.325    1    18.325         15.394   0.0  0.0         -        19.0    -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 10.603    1    10.603         13.959   0.0  0.0         -        11.0    -       -             0        cn17653-ens4   
binary_ID0000016                    1   condorpool 9.667     1    9.667          17.075   0.0  0.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000027                    1   condorpool 13.753    1    13.753         17.001   0.0  10.0        -        14.0    -       -             0        cn17653-ens4   
binary_ID0000017                    1   condorpool 14.995    1    14.995         17.767   0.0  6.0         -        16.0    -       -             0        cn17653-ens4   
binary_ID0000028                    1   condorpool 17.416    1    17.416         14.822   0.0  10.0        -        18.0    -       -             0        cn17644-enp5s0 
binary_ID0000025                    1   condorpool 17.265    1    17.265         18.473   0.0  13.0        -        17.0    -       -             0        cn17644-enp5s0 
binary_ID0000026                    1   condorpool 9.865     1    9.865          17.492   1.0  14.0        -        11.0    -       -             0        cn17637-ens4   
binary_ID0000023                    1   condorpool 9.908     1    9.908          18.201   1.0  15.0        -        10.0    -       -             0        cn17637-ens4   
binary_ID0000024                    1   condorpool 10.503    1    10.503         17.871   1.0  9.0         -        11.0    -       -             0        cn17635-ens4   
binary_ID0000021                    1   condorpool 9.666     1    9.666          17.34    0.0  10.0        -        9.0     -       -             0        cn17635-ens4   
binary_ID0000022                    1   condorpool 9.928     1    9.928          17.391   1.0  10.0        -        10.0    -       -             0        cn17655-ens4   
binary_ID0000030                    1   condorpool 9.667     1    9.667          18.156   1.0  10.0        -        10.0    -       -             0        cn17655-ens4   
binary_ID0000020                    1   condorpool 10.575    1    10.575         17.743   1.0  10.0        -        10.0    -       -             0        cn17645-ens4   
binary_ID0000031                    1   condorpool 10.239    1    10.239         17.734   1.0  4.0         -        10.0    -       -             0        cn17645-ens4   
process_ID0000036                   1   condorpool 10.007    1    10.007         12.951   0.0  0.0         -        10.0    -       -             0        cn17645-ens4   
process_ID0000047                   1   condorpool 8.603     1    8.603          15.711   0.0  0.0         -        9.0     -       -             0        cn17655-ens4   
process_ID0000037                   1   condorpool 17.004    1    17.004         20.344   1.0  0.0         -        17.0    -       -             0        cn17644-enp5s0 
process_ID0000038                   1   condorpool 8.364     1    8.364          15.612   0.0  0.0         -        9.0     -       -             0        cn17635-ens4   
process_ID0000039                   1   condorpool 10.762    1    10.762         13.911   0.0  0.0         -        11.0    -       -             0        cn17637-ens4   
process_ID0000032                   1   condorpool 17.681    1    17.681         25.98    0.0  0.0         -        18.0    -       -             0        cn17644-enp5s0 
process_ID0000043                   1   condorpool 8.674     1    8.674          15.797   1.0  4.0         -        9.0     -       -             0        cn17635-ens4   
process_ID0000033                   1   condorpool 8.91      1    8.91           15.942   1.0  4.0         -        9.0     -       -             0        cn17655-ens4   
process_ID0000044                   1   condorpool 8.908     1    8.908          15.826   1.0  5.0         -        9.0     -       -             0        cn17645-ens4   
process_ID0000034                   1   condorpool 9.719     1    9.719          17.931   1.0  6.0         -        10.0    -       -             0        cn17637-ens4   
process_ID0000045                   1   condorpool 17.977    1    17.977         25.173   0.0  6.0         -        18.0    -       -             0        cn17644-enp5s0 
process_ID0000035                   1   condorpool 8.523     1    8.523          15.677   0.0  7.0         -        8.0     -       -             0        cn17635-ens4   
process_ID0000046                   1   condorpool 10.646    1    10.646         13.605   0.0  7.0         -        11.0    -       -             0        cn17655-ens4   
