
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 3718c025-a8df-4a41-9ec7-65432e149969 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.269     1    3.269          0.159    0.0  13.0        -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 7.742     1    7.742          4.478    0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 7.764     1    7.764          5.283    0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 5.696     1    5.696          4.9      0.0  9.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 7.555     1    7.555          5.721    0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 9.138     1    9.138          5.59     0.0  8.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 6.089     1    6.089          5.057    1.0  17.0        -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 10.667    1    10.667         6.8      0.0  17.0        -        11.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 9.261     1    9.261          6.8      0.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 8.341     1    8.341          6.776    0.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 11.968    1    11.968         6.807    0.0  0.0         -        12.0    -       -             0        cn17653-ens4   
