
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 33a919c0-20d3-4b0f-b17d-93dc4cb10794 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.828     1    3.828          0.163    0.0  16.0        -        4.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.308     1    6.308          12.696   0.0  1.0         -        6.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 7.499     1    7.499          20.191   1.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 7.708     1    7.708          18.936   0.0  8.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 7.837     1    7.837          19.522   0.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 7.617     1    7.617          19.71    0.0  9.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 10.94     1    10.94          22.06    0.0  10.0        -        11.0    -       -             0        cn17662-enp5s0 
binary_ID0000004                    1   condorpool 9.118     1    9.118          21.525   0.0  10.0        -        9.0     -       -             0        cn17655-ens4   
binary_ID0000008                    1   condorpool 8.003     1    8.003          20.719   0.0  1.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 7.933     1    7.933          21.057   0.0  9.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 8.128     1    8.128          20.344   1.0  17.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 9.51      1    9.51           21.636   0.0  19.0        -        10.0    -       -             0        cn17647-ens4   
binary_ID0000013                    1   condorpool 8.84      1    8.84           22.196   0.0  19.0        -        9.0     -       -             0        cn17647-ens4   
binary_ID0000010                    1   condorpool 10.066    1    10.066         21.233   0.0  14.0        -        10.0    -       -             0        cn17645-ens4   
binary_ID0000011                    1   condorpool 9.658     1    9.658          21.024   0.0  14.0        -        10.0    -       -             0        cn17645-ens4   
binary_ID0000009                    1   condorpool 8.779     1    8.779          22.097   0.0  14.0        -        9.0     -       -             0        cn17651-ens4   
binary_ID0000018                    1   condorpool 7.594     1    7.594          21.59    1.0  0.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000029                    1   condorpool 8.097     1    8.097          21.247   1.0  0.0         -        9.0     -       -             0        cn17651-ens4   
binary_ID0000019                    1   condorpool 7.44      1    7.44           19.115   0.0  8.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000016                    1   condorpool 7.382     1    7.382          19.297   0.0  16.0        -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 9.589     1    9.589          19.248   1.0  20.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000017                    1   condorpool 10.013    1    10.013         21.545   1.0  15.0        -        10.0    -       -             0        cn17635-ens4   
binary_ID0000028                    1   condorpool 7.513     1    7.513          20.443   0.0  4.0         -        7.0     -       -             0        cn17651-ens4   
binary_ID0000025                    1   condorpool 10.9      1    10.9           22.289   1.0  14.0        -        11.0    -       -             0        cn17637-ens4   
binary_ID0000026                    1   condorpool 9.513     1    9.513          19.452   1.0  14.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000023                    1   condorpool 10.643    1    10.643         22.333   1.0  14.0        -        11.0    -       -             0        cn17637-ens4   
binary_ID0000024                    1   condorpool 9.071     1    9.071          19.902   0.0  9.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000021                    1   condorpool 10.209    1    10.209         22.54    1.0  9.0         -        10.0    -       -             0        cn17645-ens4   
binary_ID0000022                    1   condorpool 10.419    1    10.419         19.877   1.0  9.0         -        11.0    -       -             0        cn17653-ens4   
binary_ID0000030                    1   condorpool 10.432    1    10.432         22.167   1.0  9.0         -        11.0    -       -             0        cn17642-enp5s0 
binary_ID0000020                    1   condorpool 10.722    1    10.722         21.372   1.0  9.0         -        11.0    -       -             0        cn17645-ens4   
binary_ID0000031                    1   condorpool 10.38     1    10.38          21.094   1.0  3.0         -        11.0    -       -             0        cn17642-enp5s0 
binary_ID0000038                    1   condorpool 7.486     1    7.486          20.529   0.0  0.0         -        8.0     -       -             0        cn17653-ens4   
binary_ID0000039                    1   condorpool 9.578     1    9.578          36.491   0.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000036                    1   condorpool 11.572    1    11.572         24.683   0.0  0.0         -        12.0    -       -             0        cn17644-enp5s0 
binary_ID0000058                    1   condorpool 7.692     1    7.692          20.154   0.0  8.0         -        8.0     -       -             0        cn17653-ens4   
binary_ID0000037                    1   condorpool 10.643    1    10.643         21.803   1.0  10.0        -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000059                    1   condorpool 10.763    1    10.763         22.523   0.0  8.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000034                    1   condorpool 9.495     1    9.495          21.472   0.0  11.0        -        9.0     -       -             0        cn17653-ens4   
binary_ID0000056                    1   condorpool 9.201     1    9.201          21.711   0.0  0.0         -        10.0    -       -             0        cn17642-enp5s0 
binary_ID0000035                    1   condorpool 9.459     1    9.459          19.379   1.0  15.0        -        9.0     -       -             0        cn17648-enp5s0 
binary_ID0000057                    1   condorpool 8.268     1    8.268          21.59    0.0  1.0         -        8.0     -       -             0        cn17642-enp5s0 
binary_ID0000032                    1   condorpool 11.369    1    11.369         24.094   1.0  9.0         -        12.0    -       -             0        cn17662-enp5s0 
binary_ID0000054                    1   condorpool 10.93     1    10.93          21.407   1.0  9.0         -        11.0    -       -             0        cn17651-ens4   
binary_ID0000033                    1   condorpool 11.665    1    11.665         24.605   1.0  9.0         -        12.0    -       -             0        cn17662-enp5s0 
binary_ID0000055                    1   condorpool 10.817    1    10.817         22.265   1.0  9.0         -        11.0    -       -             0        cn17651-ens4   
binary_ID0000052                    1   condorpool 9.272     1    9.272          19.509   1.0  9.0         -        9.0     -       -             0        cn17648-enp5s0 
binary_ID0000053                    1   condorpool 9.751     1    9.751          22.072   1.0  4.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000050                    1   condorpool 10.667    1    10.667         23.171   1.0  3.0         -        11.0    -       -             0        cn17635-ens4   
binary_ID0000051                    1   condorpool 10.816    1    10.816         22.645   1.0  3.0         -        11.0    -       -             0        cn17635-ens4   
binary_ID0000049                    1   condorpool 9.447     1    9.447          21.686   1.0  3.0         -        10.0    -       -             0        cn17637-ens4   
binary_ID0000047                    1   condorpool 8.996     1    8.996          21.564   0.0  0.0         -        9.0     -       -             0        cn17642-enp5s0 
binary_ID0000048                    1   condorpool 12.864    1    12.864         69.217   0.0  0.0         -        13.0    -       -             0        cn17644-enp5s0 
binary_ID0000045                    1   condorpool 13.584    1    13.584         44.694   0.0  2.0         -        14.0    -       -             0        cn17644-enp5s0 
binary_ID0000046                    1   condorpool 9.655     1    9.655          21.26    1.0  0.0         -        10.0    -       -             0        cn17642-enp5s0 
binary_ID0000043                    1   condorpool 9.025     1    9.025          22.0     0.0  4.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000044                    1   condorpool 9.462     1    9.462          22.232   0.0  8.0         -        10.0    -       -             0        cn17653-ens4   
binary_ID0000041                    1   condorpool 9.082     1    9.082          21.008   0.0  8.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000063                    1   condorpool 9.907     1    9.907          23.817   0.0  0.0         -        10.0    -       -             0        cn17642-enp5s0 
binary_ID0000042                    1   condorpool 8.396     1    8.396          20.128   0.0  9.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000061                    1   condorpool 8.546     1    8.546          19.157   0.0  11.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000040                    1   condorpool 12.228    1    12.228         26.368   0.0  13.0        -        12.0    -       -             0        cn17645-ens4   
binary_ID0000062                    1   condorpool 8.446     1    8.446          20.976   0.0  1.0         -        8.0     -       -             0        cn17642-enp5s0 
binary_ID0000060                    1   condorpool 11.069    1    11.069         24.825   1.0  8.0         -        11.0    -       -             0        cn17645-ens4   
process_ID0000076                   1   condorpool 10.937    1    10.937         18.855   0.0  0.0         -        11.0    -       -             0        cn17653-ens4   
process_ID0000077                   1   condorpool 9.369     1    9.369          16.909   0.0  0.0         -        10.0    -       -             0        cn17644-enp5s0 
process_ID0000078                   1   condorpool 8.748     1    8.748          15.578   0.0  10.0        -        9.0     -       -             0        cn17644-enp5s0 
process_ID0000079                   1   condorpool 9.797     1    9.797          17.227   0.0  11.0        -        10.0    -       -             0        cn17653-ens4   
