
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 93302e9c-5d5f-4e5f-b998-f959ee3c9086 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 4.275     1    4.275          0.55     0.0  21.0        -        5.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 7.624     1    7.624          4.667    0.0  1.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 14.841    1    14.841         7.933    16.0 0.0         -        15.0    -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 16.191    1    16.191         7.013    0.0  16.0        -        16.0    -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 7.343     1    7.343          7.124    0.0  1.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 10.984    1    10.984         8.751    0.0  0.0         -        11.0    -       -             0        cn17653-ens4   
binary_ID0000006                    1   condorpool 8.539     1    8.539          7.339    0.0  7.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 13.098    1    13.098         7.187    1.0  11.0        -        13.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 12.325    1    12.325         9.016    0.0  0.0         -        12.0    -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 11.434    1    11.434         8.933    0.0  0.0         -        12.0    -       -             0        cn17653-ens4   
