
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 535526e8-d3fc-47eb-9070-2b05dc94e998 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.187     1    3.187          0.151    1.0  16.0        -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 6.932     1    6.932          4.347    0.0  0.0         -        7.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 7.583     1    7.583          6.829    1.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 10.309    1    10.309         8.249    0.0  9.0         -        10.0    -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 8.377     1    8.377          7.465    1.0  0.0         -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 10.245    1    10.245         7.294    0.0  9.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 9.262     1    9.262          8.266    0.0  16.0        -        9.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 14.052    1    14.052         10.634   0.0  16.0        -        14.0    -       -             0        cn17653-ens4   
binary_ID0000008                    1   condorpool 8.494     1    8.494          6.581    0.0  3.0         -        9.0     -       -             0        cn17653-ens4   
binary_ID0000014                    1   condorpool 19.776    1    19.776         10.701   0.0  10.0        -        20.0    -       -             0        cn17653-ens4   
binary_ID0000015                    1   condorpool 11.226    1    11.226         9.387    0.0  18.0        -        12.0    -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 25.168    1    25.168         10.162   0.0  18.0        -        26.0    -       -             0        cn17644-enp5s0 
binary_ID0000013                    1   condorpool 12.293    1    12.293         8.956    0.0  17.0        -        13.0    -       -             0        cn17653-ens4   
binary_ID0000010                    1   condorpool 13.716    1    13.716         9.884    1.0  12.0        -        14.0    -       -             0        cn17637-ens4   
binary_ID0000011                    1   condorpool 13.714    1    13.714         9.556    1.0  12.0        -        14.0    -       -             0        cn17637-ens4   
binary_ID0000009                    1   condorpool 10.445    1    10.445         8.731    0.0  12.0        -        11.0    -       -             0        cn17635-ens4   
binary_ID0000018                    1   condorpool 11.645    1    11.645         10.096   0.0  0.0         -        12.0    -       -             0        cn17653-ens4   
binary_ID0000029                    1   condorpool 11.552    1    11.552         9.62     0.0  0.0         -        12.0    -       -             0        cn17644-enp5s0 
binary_ID0000019                    1   condorpool 9.157     1    9.157          6.719    0.0  12.0        -        10.0    -       -             0        cn17653-ens4   
binary_ID0000016                    1   condorpool 13.426    1    13.426         11.305   0.0  13.0        -        14.0    -       -             0        cn17644-enp5s0 
binary_ID0000027                    1   condorpool 13.834    1    13.834         9.698    1.0  20.0        -        14.0    -       -             0        cn17644-enp5s0 
binary_ID0000017                    1   condorpool 16.448    1    16.448         10.684   0.0  15.0        -        17.0    -       -             0        cn17653-ens4   
