
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 6030de02-0ef6-4ed9-92a3-a5cd867c3638 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.209     1    3.209          0.15     0.0  16.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 5.927     1    5.927          4.843    0.0  4.0         -        6.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 10.73     1    10.73          9.807    0.0  0.0         -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 18.092    1    18.092         9.041    1.0  0.0         -        19.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 9.452     1    9.452          9.176    0.0  0.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 16.074    1    16.074         9.451    0.0  0.0         -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 10.114    1    10.114         9.169    0.0  10.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 9.308     1    9.308          8.541    1.0  16.0        -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 12.079    1    12.079         8.23     0.0  0.0         -        12.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 9.275     1    9.275          8.257    1.0  0.0         -        10.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 10.517    1    10.517         8.446    0.0  10.0        -        11.0    -       -             0        cn17660-enp5s0 
