
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 0250354f-e9d5-495e-bdcb-a2dc05ac8a7a (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.214     1    3.214          0.163    0.0  9.0         -        3.0     -       -             0        cn17644-enp5s0 
createfile_ID0000001                1   condorpool 4.537     1    4.537          1.219    0.0  1.0         -        8.0     -       -             0        cn17644-enp5s0 
binary_ID0000003                    1   condorpool 2.571     1    2.571          1.883    0.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 4.219     1    4.219          1.848    0.0  3.0         -        5.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 2.616     1    2.616          2.1      0.0  0.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000005                    1   condorpool 2.603     1    2.603          1.785    0.0  3.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000006                    1   condorpool 3.146     1    3.146          1.933    0.0  7.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000004                    1   condorpool 2.031     1    2.031          1.933    0.0  11.0        -        2.0     -       -             0        cn17644-enp5s0 
binary_ID0000008                    1   condorpool 3.255     1    3.255          1.852    0.0  0.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000014                    1   condorpool 4.425     1    4.425          1.922    0.0  4.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 2.87      1    2.87           1.882    0.0  9.0         -        3.0     -       -             0        cn17644-enp5s0 
