
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 3f57621b-10e6-41ed-baea-27cdea6ae7d6 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.202     1    3.202          0.15     1.0  8.0         -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 1.549     1    1.549          4.101    0.0  2.0         -        2.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 3.467     1    3.467          6.14     0.0  7.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000002                    1   condorpool 3.387     1    3.387          5.92     0.0  6.0         -        4.0     -       -             0        cn17644-enp5s0 
binary_ID0000007                    1   condorpool 2.324     1    2.324          6.348    0.0  7.0         -        2.0     -       -             0        cn17642-enp5s0 
binary_ID0000005                    1   condorpool 2.205     1    2.205          5.831    0.0  7.0         -        2.0     -       -             0        cn17636-enp5s0 
binary_ID0000006                    1   condorpool 2.506     1    2.506          6.497    1.0  7.0         -        2.0     -       -             0        cn17642-enp5s0 
binary_ID0000004                    1   condorpool 2.225     1    2.225          6.357    0.0  7.0         -        2.0     -       -             0        cn17636-enp5s0 
binary_ID0000008                    1   condorpool 2.216     1    2.216          5.783    0.0  6.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000014                    1   condorpool 2.672     1    2.672          5.951    1.0  6.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000015                    1   condorpool 2.461     1    2.461          6.041    1.0  6.0         -        3.0     -       -             0        cn17658-enp5s0 
binary_ID0000012                    1   condorpool 2.15      1    2.15           5.68     1.0  6.0         -        3.0     -       -             0        cn17655-ens4   
binary_ID0000013                    1   condorpool 2.292     1    2.292          6.352    1.0  6.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000010                    1   condorpool 2.198     1    2.198          6.152    0.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000011                    1   condorpool 2.134     1    2.134          5.752    1.0  1.0         -        3.0     -       -             0        cn17644-enp5s0 
binary_ID0000009                    1   condorpool 2.059     1    2.059          6.072    1.0  1.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000018                    1   condorpool 2.237     1    2.237          6.186    0.0  6.0         -        3.0     -       -             0        cn17637-ens4   
binary_ID0000029                    1   condorpool 1.952     1    1.952          4.637    0.0  6.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 2.675     1    2.675          4.678    0.0  6.0         -        3.0     -       -             0        cn17637-ens4   
binary_ID0000016                    1   condorpool 3.944     1    3.944          6.798    0.0  6.0         -        5.0     -       -             0        cn17662-enp5s0 
binary_ID0000027                    1   condorpool 2.304     1    2.304          6.649    0.0  6.0         -        3.0     -       -             0        cn17642-enp5s0 
binary_ID0000017                    1   condorpool 3.82      1    3.82           6.708    0.0  2.0         -        4.0     -       -             0        cn17662-enp5s0 
binary_ID0000028                    1   condorpool 2.406     1    2.406          3.749    0.0  1.0         -        3.0     -       -             0        cn17660-enp5s0 
binary_ID0000025                    1   condorpool 2.382     1    2.382          6.187    0.0  1.0         -        3.0     -       -             0        cn17653-ens4   
binary_ID0000026                    1   condorpool 2.341     1    2.341          6.913    0.0  2.0         -        2.0     -       -             0        cn17642-enp5s0 
binary_ID0000023                    1   condorpool 2.122     1    2.122          5.166    0.0  2.0         -        2.0     -       -             0        cn17661-ens4   
binary_ID0000024                    1   condorpool 2.557     1    2.557          8.221    1.0  1.0         -        3.0     -       -             0        cn17662-enp5s0 
binary_ID0000021                    1   condorpool 2.105     1    2.105          7.427    1.0  0.0         -        3.0     -       -             0        cn17662-enp5s0 
binary_ID0000022                    1   condorpool 2.322     1    2.322          7.976    0.0  3.0         -        2.0     -       -             0        cn17662-enp5s0 
binary_ID0000030                    1   condorpool 2.3       1    2.3            8.241    0.0  3.0         -        3.0     -       -             0        cn17662-enp5s0 
binary_ID0000020                    1   condorpool 2.076     1    2.076          7.536    0.0  6.0         -        2.0     -       -             0        cn17662-enp5s0 
binary_ID0000031                    1   condorpool 2.426     1    2.426          7.788    0.0  1.0         -        3.0     -       -             0        cn17662-enp5s0 
process_ID0000036                   1   condorpool 2.094     1    2.094          5.745    1.0  15.0        -        2.0     -       -             0        cn17645-ens4   
