
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 2bb98564-ea07-4da4-88ce-7d116609528a (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.203     1    3.203          0.154    0.0  8.0         -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 6.103     1    6.103          12.606   0.0  3.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 12.185    1    12.185         28.647   0.0  2.0         -        13.0    -       -             0        cn17662-enp5s0 
binary_ID0000002                    1   condorpool 12.407    1    12.407         28.976   0.0  2.0         -        13.0    -       -             0        cn17662-enp5s0 
binary_ID0000007                    1   condorpool 9.15      1    9.15           23.64    1.0  0.0         -        10.0    -       -             0        cn17642-enp5s0 
binary_ID0000005                    1   condorpool 8.641     1    8.641          25.169   1.0  0.0         -        9.0     -       -             0        cn17635-ens4   
binary_ID0000006                    1   condorpool 8.547     1    8.547          24.441   0.0  9.0         -        9.0     -       -             0        cn17635-ens4   
binary_ID0000004                    1   condorpool 8.697     1    8.697          22.354   0.0  10.0        -        9.0     -       -             0        cn17642-enp5s0 
binary_ID0000008                    1   condorpool 10.898    1    10.898         26.11    0.0  9.0         -        11.0    -       -             0        cn17636-enp5s0 
binary_ID0000014                    1   condorpool 12.213    1    12.213         27.269   0.0  9.0         -        12.0    -       -             0        cn17645-ens4   
binary_ID0000015                    1   condorpool 11.906    1    11.906         26.011   0.0  9.0         -        12.0    -       -             0        cn17645-ens4   
binary_ID0000012                    1   condorpool 10.789    1    10.789         25.521   0.0  9.0         -        11.0    -       -             0        cn17642-enp5s0 
binary_ID0000013                    1   condorpool 11.033    1    11.033         27.285   0.0  9.0         -        11.0    -       -             0        cn17642-enp5s0 
binary_ID0000010                    1   condorpool 12.609    1    12.609         27.164   0.0  4.0         -        13.0    -       -             0        cn17656-enp5s0 
