
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# db6e0c4c-ec18-40c4-9fed-13076012b32f (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.195     1    3.195          0.152    1.0  17.0        -        3.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 6.316     1    6.316          13.083   0.0  6.0         -        7.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 9.117     1    9.117          22.73    0.0  1.0         -        10.0    -       -             0        cn17661-ens4   
binary_ID0000002                    1   condorpool 8.714     1    8.714          22.345   0.0  2.0         -        9.0     -       -             0        cn17661-ens4   
binary_ID0000007                    1   condorpool 10.913    1    10.913         27.061   0.0  0.0         -        11.0    -       -             0        cn17645-ens4   
binary_ID0000005                    1   condorpool 9.617     1    9.617          24.577   0.0  0.0         -        10.0    -       -             0        cn17655-ens4   
binary_ID0000006                    1   condorpool 9.094     1    9.094          27.86    0.0  10.0        -        9.0     -       -             0        cn17655-ens4   
binary_ID0000004                    1   condorpool 8.757     1    8.757          25.91    0.0  11.0        -        9.0     -       -             0        cn17645-ens4   
binary_ID0000008                    1   condorpool 10.793    1    10.793         22.85    1.0  9.0         -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 10.428    1    10.428         25.096   0.0  9.0         -        11.0    -       -             0        cn17644-enp5s0 
binary_ID0000015                    1   condorpool 11.091    1    11.091         25.92    1.0  9.0         -        12.0    -       -             0        cn17644-enp5s0 
binary_ID0000012                    1   condorpool 12.19     1    12.19          27.161   1.0  9.0         -        13.0    -       -             0        cn17635-ens4   
binary_ID0000013                    1   condorpool 11.728    1    11.728         25.251   1.0  9.0         -        12.0    -       -             0        cn17635-ens4   
binary_ID0000010                    1   condorpool 10.765    1    10.765         22.248   1.0  4.0         -        11.0    -       -             0        cn17660-enp5s0 
binary_ID0000011                    1   condorpool 10.426    1    10.426         22.11    0.0  4.0         -        11.0    -       -             0        cn17661-ens4   
binary_ID0000009                    1   condorpool 10.197    1    10.197         21.857   0.0  4.0         -        11.0    -       -             0        cn17661-ens4   
binary_ID0000018                    1   condorpool 8.071     1    8.071          22.848   1.0  0.0         -        8.0     -       -             0        cn17642-enp5s0 
binary_ID0000029                    1   condorpool 9.486     1    9.486          25.819   2.0  0.0         -        10.0    -       -             0        cn17656-enp5s0 
