
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 1a552d32-4d6d-41c7-92d4-7c1c775c5d36 (binary-tree)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname       
create_dir_binary-tree_0_condorpool 1   condorpool 3.251     1    3.251          0.154    0.0  16.0        -        4.0     -       -             0        cn17660-enp5s0 
createfile_ID0000001                1   condorpool 8.182     1    8.182          6.267    1.0  7.0         -        8.0     -       -             0        cn17660-enp5s0 
binary_ID0000003                    1   condorpool 26.711    1    26.711         12.928   0.0  1.0         -        27.0    -       -             0        cn17660-enp5s0 
binary_ID0000002                    1   condorpool 45.538    1    45.538         11.405   0.0  1.0         -        46.0    -       -             0        cn17660-enp5s0 
binary_ID0000007                    1   condorpool 13.496    1    13.496         12.536   0.0  0.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000005                    1   condorpool 12.579    1    12.579         12.482   0.0  0.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000006                    1   condorpool 29.152    1    29.152         12.245   0.0  13.0        -        30.0    -       -             0        cn17660-enp5s0 
binary_ID0000004                    1   condorpool 18.525    1    18.525         11.693   0.0  14.0        -        19.0    -       -             0        cn17660-enp5s0 
binary_ID0000008                    1   condorpool 13.569    1    13.569         12.885   0.0  1.0         -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000014                    1   condorpool 12.802    1    12.802         12.629   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
binary_ID0000015                    1   condorpool 31.024    1    31.024         11.878   0.0  14.0        -        31.0    -       -             0        cn17660-enp5s0 
binary_ID0000012                    1   condorpool 12.753    1    12.753         12.175   3.0  14.0        -        13.0    -       -             0        cn17660-enp5s0 
binary_ID0000013                    1   condorpool 13.77     1    13.77          12.051   0.0  19.0        -        15.0    -       -             0        cn17661-ens4   
binary_ID0000010                    1   condorpool 13.391    1    13.391         12.024   0.0  14.0        -        14.0    -       -             0        cn17661-ens4   
binary_ID0000011                    1   condorpool 13.094    1    13.094         11.6     0.0  14.0        -        14.0    -       -             0        cn17645-ens4   
binary_ID0000009                    1   condorpool 13.048    1    13.048         11.959   0.0  14.0        -        14.0    -       -             0        cn17645-ens4   
binary_ID0000018                    1   condorpool 16.848    1    16.848         12.381   0.0  0.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000029                    1   condorpool 16.299    1    16.299         12.245   0.0  0.0         -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000019                    1   condorpool 15.453    1    15.453         12.338   0.0  17.0        -        16.0    -       -             0        cn17660-enp5s0 
binary_ID0000016                    1   condorpool 17.163    1    17.163         12.299   0.0  18.0        -        17.0    -       -             0        cn17660-enp5s0 
binary_ID0000027                    1   condorpool 14.325    1    14.325         12.669   0.0  20.0        -        15.0    -       -             0        cn17661-ens4   
binary_ID0000017                    1   condorpool 13.422    1    13.422         11.926   0.0  16.0        -        13.0    -       -             0        cn17661-ens4   
binary_ID0000028                    1   condorpool 17.743    1    17.743         14.243   0.0  15.0        -        17.0    -       -             0        cn17645-ens4   
binary_ID0000025                    1   condorpool 16.546    1    16.546         13.767   0.0  15.0        -        16.0    -       -             0        cn17645-ens4   
binary_ID0000026                    1   condorpool 16.973    1    16.973         13.409   0.0  15.0        -        17.0    -       -             0        cn17651-ens4   
binary_ID0000023                    1   condorpool 17.139    1    17.139         14.006   0.0  15.0        -        17.0    -       -             0        cn17651-ens4   
binary_ID0000024                    1   condorpool 12.41     1    12.41          11.831   0.0  10.0        -        12.0    -       -             0        cn17653-ens4   
binary_ID0000021                    1   condorpool 28.01     1    28.01          12.73    0.0  10.0        -        28.0    -       -             0        cn17653-ens4   
binary_ID0000022                    1   condorpool 16.014    1    16.014         13.472   0.0  10.0        -        16.0    -       -             0        cn17636-enp5s0 
binary_ID0000030                    1   condorpool 13.878    1    13.878         13.26    0.0  10.0        -        14.0    -       -             0        cn17636-enp5s0 
binary_ID0000020                    1   condorpool 13.652    1    13.652         12.016   0.0  10.0        -        14.0    -       -             0        cn17639-ens4   
binary_ID0000031                    1   condorpool 13.195    1    13.195         12.795   0.0  5.0         -        13.0    -       -             0        cn17639-ens4   
process_ID0000036                   1   condorpool 14.279    1    14.279         11.707   0.0  1.0         -        14.0    -       -             0        cn17660-enp5s0 
process_ID0000047                   1   condorpool 48.975    1    48.975         13.073   0.0  0.0         -        49.0    -       -             0        cn17660-enp5s0 
process_ID0000037                   1   condorpool 13.256    1    13.256         11.564   0.0  14.0        -        14.0    -       -             0        cn17660-enp5s0 
process_ID0000038                   1   condorpool 39.327    1    39.327         12.858   0.0  20.0        -        40.0    -       -             0        cn17661-ens4   
process_ID0000039                   1   condorpool 12.886    1    12.886         10.984   1.0  20.0        -        14.0    -       -             0        cn17661-ens4   
process_ID0000032                   1   condorpool 12.551    1    12.551         12.122   1.0  15.0        -        13.0    -       -             0        cn17645-ens4   
process_ID0000043                   1   condorpool 13.851    1    13.851         11.839   1.0  15.0        -        14.0    -       -             0        cn17645-ens4   
process_ID0000033                   1   condorpool 22.12     1    22.12          13.09    0.0  15.0        -        23.0    -       -             0        cn17651-ens4   
process_ID0000044                   1   condorpool 15.827    1    15.827         13.381   0.0  15.0        -        16.0    -       -             0        cn17651-ens4   
process_ID0000034                   1   condorpool 38.162    1    38.162         13.665   0.0  15.0        -        39.0    -       -             0        cn17653-ens4   
